CELL_Line,Tissue_name
ACH-000807,central_nervous_system
ACH-000808,bile_duct
ACH-000809,esophagus
ACH-000810,skin
ACH-000811,ovary
ACH-000812,skin
ACH-000813,lung
ACH-000814,skin
ACH-000815,lymphocyte
ACH-000816,lung
ACH-000817,plasma_cell
ACH-000818,breast
ACH-000819,central_nervous_system
ACH-000820,colorectal
ACH-000821,plasma_cell
ACH-000822,skin
ACH-000823,esophagus
ACH-000824,esophagus
ACH-000825,lung
ACH-000826,lung
ACH-000827,skin
ACH-000828,breast
ACH-000829,plasma_cell
ACH-000830,lung
ACH-000831,uterus
ACH-000832,upper_aerodigestive
ACH-000833,soft_tissue
ACH-000834,urinary_tract
ACH-000835,soft_tissue
ACH-000836,upper_aerodigestive
ACH-000837,lung
ACH-000838,plasma_cell
ACH-000839,urinary_tract
ACH-000840,lung
ACH-000841,lung
ACH-000842,colorectal
ACH-000843,lung
ACH-000844,lung
ACH-000845,lung
ACH-000846,upper_aerodigestive
ACH-000847,gastric
ACH-000848,liver
ACH-000849,breast
ACH-000850,fibroblast
ACH-000851,lung
ACH-000852,lung
ACH-000853,lung
ACH-000854,plasma_cell
ACH-000855,esophagus
ACH-000856,breast
ACH-000857,breast
ACH-000858,lung
ACH-000859,breast
ACH-000860,lung
ACH-000861,lung
ACH-000862,urinary_tract
ACH-000863,central_nervous_system
ACH-000864,uterus
ACH-000865,esophagus
ACH-000866,lung
ACH-000867,lung
ACH-000868,lung
ACH-000869,lung
ACH-000870,lung
ACH-000871,lung
ACH-000872,lung
ACH-000873,esophagus
ACH-000874,blood
ACH-000875,lung
ACH-000876,breast
ACH-000877,lymphocyte
ACH-000878,lung
ACH-000879,uterus
ACH-000880,gastric
ACH-000881,skin
ACH-000882,skin
ACH-000883,central_nervous_system
ACH-000884,skin
ACH-000885,ovary
ACH-000886,lung
ACH-000887,central_nervous_system
ACH-000888,lung
ACH-000889,plasma_cell
ACH-000890,lung
ACH-000891,lung
ACH-000892,lung
ACH-000893,lung
ACH-000894,lung
ACH-000895,colorectal
ACH-000896,urinary_tract
ACH-000897,thyroid
ACH-000898,gastric
ACH-000899,skin
ACH-000900,lung
ACH-000901,lung
ACH-000902,breast
ACH-000903,thyroid
ACH-000904,lung
ACH-000905,urinary_tract
ACH-000906,ovary
ACH-000907,kidney
ACH-000908,gastric
ACH-000909,uterus
ACH-000910,breast
ACH-000911,gastric
ACH-000912,lung
ACH-000913,uterus
ACH-000914,lymphocyte
ACH-000915,skin
ACH-000916,lung
ACH-000917,esophagus
ACH-000918,blood
ACH-000919,gastric
ACH-000920,blood
ACH-000921,lung
ACH-000922,blood
ACH-000923,lymphocyte
ACH-000924,lung
ACH-000925,lung
ACH-000926,colorectal
ACH-000927,breast
ACH-000928,uterus
ACH-000929,lung
ACH-000930,breast
ACH-000931,skin
ACH-000932,gastric
ACH-000933,pancreas
ACH-000934,breast
ACH-000935,colorectal
ACH-000936,ovary
ACH-000937,blood
ACH-000938,blood
ACH-000939,soft_tissue
ACH-000940,uterus
ACH-000941,uterus
ACH-000942,blood
ACH-000943,colorectal
ACH-000944,lymphocyte
ACH-000945,lung
ACH-000946,uterus
ACH-000947,ovary
ACH-000948,gastric
ACH-000949,gastric
ACH-000950,colorectal
ACH-000951,lung
ACH-000952,prostate
ACH-000953,blood
ACH-000954,uterus
ACH-000955,colorectal
ACH-000956,prostate
ACH-000957,colorectal
ACH-000958,colorectal
ACH-000959,colorectal
ACH-000960,blood
ACH-000961,uterus
ACH-000962,ovary
ACH-000963,colorectal
ACH-000964,blood
ACH-000965,uterus
ACH-000966,ovary
ACH-000967,colorectal
ACH-000968,skin
ACH-000969,colorectal
ACH-000970,colorectal
ACH-000971,colorectal
ACH-000972,uterus
ACH-000973,urinary_tract
ACH-000974,uterus
ACH-000975,lung
ACH-000976,bile_duct
ACH-000977,prostate
ACH-000978,uterus
ACH-000979,prostate
ACH-000980,lung
ACH-000981,blood
ACH-000982,colorectal
ACH-000983,blood
ACH-000984,uterus
ACH-000985,colorectal
ACH-000986,colorectal
ACH-000987,skin
ACH-000988,uterus
ACH-000989,colorectal
ACH-000990,uterus
ACH-000991,colorectal
ACH-000992,upper_aerodigestive
ACH-000993,uterus
ACH-000994,uterus
ACH-000995,blood
ACH-000996,uterus
ACH-000997,colorectal
ACH-000998,colorectal
ACH-000999,colorectal
ACH-001001,bone
ACH-001016,central_nervous_system
ACH-001020,soft_tissue
ACH-001022,bone
ACH-001028,soft_tissue
ACH-001029,bone
ACH-001030,bone
ACH-001031,soft_tissue
ACH-001032,bone
ACH-001033,bone
ACH-001034,bone
ACH-001035,bone
ACH-001038,bone
ACH-001041,lung
ACH-001048,ovary
ACH-001050,soft_tissue
ACH-001053,central_nervous_system
ACH-001054,central_nervous_system
ACH-001057,lymphocyte
ACH-001059,soft_tissue
ACH-001060,lymphocyte
ACH-001061,colorectal
ACH-001067,central_nervous_system
ACH-001068,lymphocyte
ACH-001075,lung
ACH-001078,lung
ACH-001086,cervix
ACH-001096,soft_tissue
ACH-001097,lymphocyte
ACH-001098,pancreas
ACH-001099,soft_tissue
ACH-001100,lymphocyte
ACH-001106,blood
ACH-001109,soft_tissue
ACH-001111,lymphocyte
ACH-001113,lung
ACH-001119,lymphocyte
ACH-001128,soft_tissue
ACH-001129,blood
ACH-001132,lymphocyte
ACH-001134,lymphocyte
ACH-001142,central_nervous_system
ACH-001143,lymphocyte
ACH-001145,ovary
ACH-001147,lymphocyte
ACH-001148,lymphocyte
ACH-001163,kidney
ACH-001164,soft_tissue
ACH-001172,central_nervous_system
ACH-001173,central_nervous_system
ACH-001183,urinary_tract
ACH-001184,soft_tissue
ACH-001190,skin
ACH-001192,bone
ACH-001193,bone
ACH-001196,soft_tissue
ACH-001197,lymphocyte
ACH-001200,soft_tissue
ACH-001201,central_nervous_system
ACH-001205,bone
ACH-001207,fibroblast
ACH-001210,soft_tissue
ACH-001211,soft_tissue
ACH-001212,soft_tissue
ACH-001228,upper_aerodigestive
ACH-001232,central_nervous_system
